Food Item,Carbon kg CO2eq/kg
tempe’,1.1
egg pasta,3.15
whole wheat flour,0.36
azuki bean flour,1.32
mung bean flour,1.49
soy meal,0.62
beans in can,0.11
green beans in can,1.45
beans (f),1.77
green beans (f),2.74
margarine*,1.39
almond covered with chocolate,4.8
almond paste,2.98
peanut butter,1.15
peanut paste,1.84
olive oil,3.27
peanut oil,2.9
soybean oil,1.79
pasta,1.21
pesto,2.71
pesto without garlic,2.72
soy cream,1.62
almond milk,0.42
coconut milk,0.41
rice milk,0.66
soy milk,0.78
quorne,2.5
soy burger,1.48
tofu,2.27
soy yogurt,1.36
