Timestamp,Age group:,Education status:,Work status:,How do you travel to work/university?,"On average, how long does it take you to travel to work/university?",How engaged do you feel with the issue of climate change?,Do you know what a carbon footprint is?,How aware are you of your own carbon footprint?,How do you currently measure your own carbon footprint?,"What sources of information do you use, if any, to measure your carbon footprint?",Do you feel having more information about your carbon footprint would be useful?,Would having more information about your carbon footprint be likely to change your habits?,"What kind of motivation, if any, would you need in order to change one of your habits for a more environmentally friendly one?","How have you tried to reduce your carbon footprint, if at all?",How much do you care about trying to reduce your carbon footprint?,What do you consider to be the hardest part about trying to reduce your carbon footprint?,Have you tried to encourage others to reduce their carbon footprint?,Data Protection Agreement
2019/11/15 10:10:07 am GMT,18–22,In full-time education,Not working at all,Walk / Cycle,Less than 15 minutes,4,Yes,2,1,None,5,Maybe,An app which gives me reminders of what I could do to improve it,I have not tried to reduce my carbon footprint,5,Effort of it ngl,No,I agree
2019/11/15 10:10:26 am GMT,18–22,In full-time education,Part-time,Walk / Cycle,Less than 15 minutes,3,Yes,1,1,None,3,Maybe,That me as a person changing something would actually have an impact,I have not tried to reduce my carbon footprint,3,I don't know what I could change,No,I agree
2019/11/15 10:10:33 am GMT,18–22,In full-time education,Not working at all,Walk / Cycle,Less than an hour,3,Yes,2,1,None,5,Maybe,Knowing where to start. ,Changed how I travel,4,Not knowing where to start. ,No,I agree
2019/11/15 10:10:43 am GMT,18–22,In full-time education,Part-time,Walk / Cycle,Less than 15 minutes,2,Yes,1,1,None,4,Yes,Monetary,I have not tried to reduce my carbon footprint,4,Reducing energy consumption,No,I agree
2019/11/15 10:10:49 am GMT,18–22,In full-time education,Not working at all,Walk / Cycle,Less than 15 minutes,2,No,1,2,None,2,No,enviromint,no,2,what is carbon footprint?,No,I agree
2019/11/15 10:11:04 am GMT,18–22,In full-time education,Part-time,Walk / Cycle,Less than 15 minutes,4,No,2,2,None,3,Maybe,Any,I still dont know what this is,2,I dont know ,No,I agree
2019/11/15 10:11:13 am GMT,18–22,In full-time education,Not working at all,Walk / Cycle,Less than 15 minutes,4,Yes,2,4,None,4,Maybe,Economically viable ,Changed what I buy;Changed how I travel,3,Infrastructure changes ,No,I agree
2019/11/15 10:11:13 am GMT,18–22,In full-time education,Not working at all,Walk / Cycle,Less than 15 minutes,4,Yes,2,3,None,5,Yes,To see what my own footprint looks like ,Changed what I buy,4,Changing habits ,Yes,I agree
2019/11/15 10:11:30 am GMT,18–22,In full-time education,Not working at all,Walk / Cycle,Less than 15 minutes,3,Yes,1,1,None,2,Maybe,None,Changed how I travel,3,Convince other to do it,No,I agree
2019/11/15 10:11:40 am GMT,18–22,In full-time education,Part-time,Walk / Cycle,Less than 5 minutes,4,Yes,4,1,None,4,Yes,For the cost to me to be fairly small; I'm happy to pay a bit more but if it's worlds apart then my hand is usually forced,Changed how I travel;Changed devices or appliances in my house,3,Haven't really had the opportunity to reduce it as I don't pick my energy supplier and can't drive yet,Yes,I agree
